vivoweb.org/ontology/core/Program,45
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/Winery,43
vitro.mannlib.cornell.edu/ns/vitro/0.7/Tab,42
vivoweb.org/ontology/core/InvestigatorRole,40
vivoweb.org/ontology/core/Agreement,39
vitro.mannlib.cornell.edu/ns/vitro/0.7/AutoLinkableTab,39
www.w3.org/2004/02/skos/core/Concept,38
vivoweb.org/ontology/core/PostdocPosition,36
mged.sourceforge.net/ontologies/MGEDOntology.owl/FactorValue,36
purl.org/spar/pso/PublicationStatus,36
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/Region,36
purl.org/spar/pro/PublishingRole,33
www.lexinfo.net/ontology/2.0/lexinfo/TermType,32
www.lexinfo.net/ontology/2.0/lexinfo/Case,32
xmlns.com/foaf/0.1/Document,31
www.w3.org/2003/01/geo/wgs84_pos/SpatialThing,31
www.w3.org/2003/11/swrl/Variable,31
vivoweb.org/ontology/core/Newsletter,31
www.w3.org/2003/11/swrl/IndividualPropertyAtom,30
www.kanzaki.com/ns/music/Key,30
vivoweb.org/ontology/core/Division,30
aims.fao.org/aos/geopolitical.owl/economic_region,29
vivoweb.org/ontology/core/NonAcademicPosition,29
purl.org/spar/scoro/OrganizationalRole,28
aims.fao.org/aos/geopolitical.owl/geographical_region,27
vivoweb.org/ontology/core/TransnationalRegion,27
aims.fao.org/aos/geopolitical.owl/non_self_governing,27
vivoweb.org/ontology/core/Institute,27
www.lexinfo.net/ontology/2.0/lexinfo/PronounPOS,26
vivoweb.org/ontology/core/Library,25
vivoweb.org/ontology/core/School,25
www.w3.org/2002/07/owl/AsymmetricProperty,25
vivoweb.org/ontology/core/MemberRole,24
www.ebi.ac.uk/efo/EFO_0000761,24
idi.fundacionctic.org/cruzar/turismo/Preferencia-de-usuario,23
vitro.mannlib.cornell.edu/ns/vitro/0.7/TabIndividualRelation,22
idi.fundacionctic.org/cruzar/turismo/Interes-turistico,21
purl.org/twc/arrayexpress/E-MTAB-104/term/DiseaseState,20
vivoweb.org/ontology/core/NonAcademic,19
vivoweb.org/ontology/core/PresenterRole,19
purl.obolibrary.org/obo/OBI_0100026,19
purl.org/twc/arrayexpress/E-MTAB-104/term/OrganismPart,19
purl.org/spar/scoro/ExperimentalContribution,19
www.w3.org/2002/07/owl/InverseFunctionalProperty,18
vivoweb.org/ontology/core/College,18
vivoweb.org/ontology/core/Presentation,18
purl.obolibrary.org/obo/IAO_0000027,18
purl.org/obo/owl/CHEBI/CHEBI_23367,18
purl.org/obo/owl/NCBITaxon/NCBITaxon:10116,18
purl.org/twc/arrayexpress/E-MTAB-104/factor/DISEASESTATE,18
purl.org/twc/arrayexpress/E-MTAB-104/factor/TREATMENT,18
www.ebi.ac.uk/efo/EFO_0000727,18
purl.org/twc/arrayexpress/E-MTAB-104/term/DISEASESTATE,18
purl.obolibrary.org/obo/OBI_0400147,18
purl.org/twc/arrayexpress/E-MTAB-104/term/unknown,18
purl.org/twc/arrayexpress/P-MTAB-3886,18
purl.org/twc/arrayexpress/P-MTAB-3887,18
purl.org/twc/arrayexpress/P-MTAB-3888,18
purl.org/twc/arrayexpress/P-AFFY-6,18
purl.obolibrary.org/obo/IAO_0000101,18
www.ebi.ac.uk/efo/EFO_0000290,18
purl.obolibrary.org/obo/BFO_0000040,18
vitro.mannlib.cornell.edu/ns/vitro/0.7/Collection,16
vitro.mannlib.cornell.edu/ns/vitro/0.7/PropertyGroup,16
www.w3.org/TR/2003/PR-owl-guide-20031209/wine/WineGrape,16
vivoweb.org/ontology/core/Association,15
purl.org/spar/scoro/InvestigationRole,15
www.w3.org/2002/07/owl/AllDifferent,14
www.w3.org/2002/07/owl/DeprecatedProperty,14
vitro.mannlib.cornell.edu/ns/vitro/0.7/PrimaryTabContent,14
www.lexinfo.net/ontology/2.0/lexinfo/ParticlePOS,14
www.lexinfo.net/ontology/2.0/lexinfo/SymbolPOS,14
xmlns.com/foaf/0.1/Group,13
www.w3.org/2002/07/owl/IrreflexiveProperty,13
vivoweb.org/ontology/core/PrivateCompany,12
www.ebi.ac.uk/efo/EFO_0000311,12
vivoweb.org/ontology/core/Company,12
idi.fundacionctic.org/cruzar/turismo/Visita-turistica,12
purl.org/spar/scoro/FinancialRole,12
purl.org/spar/fabio/DigitalStorageMedium,11
vivoweb.org/ontology/core/Equipment,11
vivoweb.org/ontology/core/USPostalAddress,11
vitro.mannlib.cornell.edu/ns/vitro/0.7/User,11
ont.cbnl.org/metamodel/def/Collection,11
www.lexinfo.net/ontology/2.0/lexinfo/DeterminerPOS,11
www.lexinfo.net/ontology/2.0/lexinfo/NumeralPOS,11
www.lexinfo.net/ontology/2.0/lexinfo/Register,11
www.lexinfo.net/ontology/2.0/lexinfo/TermElement,11
www.w3.org/2001/sw/hcls/ns/transmed/TMO_0140,11
purl.org/ontology/mo/ReleaseType,10
voag.linkedmodel.org/voag/ChangeFrequency,10
vivoweb.org/ontology/core/CaseStudy,10
vivoweb.org/ontology/core/GraduateStudent,10
vivoweb.org/ontology/core/Student,10
vivoweb.org/ontology/core/NewsRelease,10
purl.org/spar/scoro/DataRole,10
purl.org/net/ns/ex/Example,9
aims.fao.org/aos/geopolitical.owl/special_group,9
purl.org/ontology/bibo/DocumentStatus,9
purl.org/ontology/bibo/Patent,9
vivoweb.org/ontology/core/InvitedTalk,9
www.vivoweb.org/ontology/v0.9/vivo-on-vivo/Listserv,9
www.lexinfo.net/ontology/2.0/lexinfo/AdjectivePOS,9
www.lexinfo.net/ontology/2.0/lexinfo/Number,9
onto.beef.org.pl/domain/c1985,9
kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl/DietType,9
vivoweb.org/ontology/core/ServiceProviderRole,8
purl.obolibrary.org/obo/OBI_0000272,8
vitro.mannlib.cornell.edu/ns/vitro/0.7/ClassGroup,8
vitro.mannlib.cornell.edu/ns/vitro/0.7/PrimaryTab,8
www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl/BearerType,8
www.w3.org/ns/prov-o/Plan,8
idi.fundacionctic.org/cruzar/turismo/Estilo-artistico,8
purl.org/spar/scoro/AuthorshipRole,8
purl.org/spar/scoro/IntellectualContribution,8
